inglês,português
seem,parecer
sort,organizar
safe,seguro
living,a viver
children,crianças
weren't,não eram
leaving,saindo
front,frente
shot,Tiro
loved,amavam
asking,Perguntando
running,corrida
clear,Claro
figure,figura
hot,quente
felt,sentido
six,seis
parents,pais
drink,bebida
absolutely,absolutamente
how's,Como está
daddy,Papai
sweet,doce
alive,vivo
sense,senso
meant,significou
happens,acontece
special,especial
bet,aposta
blood,sangue
ain't,não é
kidding,brincando
lie,mentira
full,completo
meeting,encontro
dear,querido
coffee,café
seeing,vendo
sound,som
fault,falta
water,agua
fuck,Porra
ten,dez
women,mulheres
welcome,bem vinda
buy,Comprar
months,meses
hour,hora
speak,falar
lady,Senhora
thinks,pensa
Christmas,Natal
body,corpo
order,pedido
outside,lado de fora
hang,aguentar
possible,possível
worse,pior
company,companhia
mistake,erro
handle,lidar com
spend,gastar
totally,totalmente
giving,dando
control,ao controle
here's,aqui está
marriage,casado
realize,entender
power,potência
president,Presidente
unless,a menos que
sex,sexo
girls,garotas
send,mandar
needed,precisava
taken,ocupado
died,faleceu
scared,assustada
picture,foto
talked,falou
ass,bunda
hundred,centenas
changed,mudado
completely,completamente
explain,explique
playing,jogando
certainly,certamente
sign,sinal
boys,Rapazes
relationship,relação
loves,O amor é
fucking,porra
hair,cabelo
lying,mentindo
choice,escolha
anywhere,qualquer lugar
secret,segredo
future,futuro
weird,estranhas
luck,sorte
turned,virado
known,conhecido
touch,toque
kiss,beijo
Crane,Guindaste
questions,perguntas
obviously,obviamente
wonder,maravilha
pain,dor
calling,Chamando
somewhere,algum lugar
throw,lançar
straight,em linha reta
Grace,Graça
cold,resfriado
white,Branco
fast,velozes
words,palavras
food,Comida
none,Nenhum
drive,dirigir
feelings,sentimentos
worked,trabalhado
marry,casar
light,leve
test,teste
drop,derrubar
cannot,não pode
sent,enviei
city,cidade
dream,Sonhe
protect,proteger
twenty,vinte
class,classe
surprise,surpresa
its,Está
sweetheart,amada
forever,para todo sempre
poor,pobre
looked,visto
mad,louco
except,exceto
gun,arma de fogo
y'know,sabe
dance,dança
takes,leva
appreciate,apreciar
especially,especialmente
situation,situação
besides,além do mais
weeks,semanas
pull,puxar
himself,ele mesmo
hasn't,não
act,agir
worth,valor
amazing,surpreendente
top,principal
given,dado
expect,esperar
rather,em vez
involved,envolvido
swear,xingar
piece,peça
busy,ocupado
law,lei
decided,decidido
Black,Preto
happening,acontecendo
movie,filme
catch,pegar
country,país
less,menos
perhaps,possivelmente
step,degrau
fall,outono
watching,assistindo
kept,manteve
darling,querida
dog,cão
win,ganhar
air,ar
honor,honra
personal,pessoal
moving,movendo-se
till,até
admit,Admitem
problems,Problemas.
murder,assassinato
strong,Forte
evil,mal
definitely,com certeza
feels,sentimentos
information,em formação
honest,honesto
eye,olho
broke,quebrado
missed,esquecidas
longer,mais longo
dollars,dólares.
tired,cansado
evening,tarde
human,humano
starting,iniciando
red,vermelho
entire,inteira
trip,viagem
club,clube
suppose,Suponha que
calm,calma
imagine,Imagine
fair,justo
caught,capturado
blame,culpa
street,rua
sitting,sentado
favor,Favor
apartment,apartamento
court,quadra
terrible,Terrível
clean,limpar
learn,aprender
works,funciona
relax,relaxar
million,milhão
charity,caridade
accident,acidente
wake,acordar
prove,provar
smart,inteligente
message,mensagem
missing,ausente
forgot,esquecido
small,pequena
interested,interessado
table,tabela
become,vir a ser
mouth,boca
pregnant,grávida
middle,meio
ring,anel
careful,cuidadoso
shall,devem
dude,parceiro
team,equipe
ride,andar de
figured,figurado
wear,vestem
shoot,atirar
stick,bastão
follow,Segue
angry,nervoso
instead,em vez de
buddy,companheiro
write,escrever
stopped,parado
early,cedo
ran,correu
war,guerra
standing,de pé
forgive,perdoar
jail,cadeia
wearing,vestindo
ladies,senhoras
kinda,tipo
lunch,almoço
Cristian,Cristian
eight,oito
gotten,pego
hoping,na esperança
thousand,mil
ridge,cume
music,música
paper,papel
tough,difícil
tape,fita
state,Estado
count,contar
college,escola Superior
boyfriend,namorado
proud,orgulhoso
agree,aceita
birthday,aniversário
bill,conta
seven,Sete
they've,Eles têm
history,história
share,compartilhado
offer,oferta
hurry,pressa
feet,pés
wondering,imaginando
simple,simples
decision,decisão
building,construção
finish,Finalizar
voice,voz
herself,ela própria
would've,teria
list,Lista
mess,bagunça
deserve,merecer
evidence,Evidência
cute,fofa
dress,vestir
interesting,interessante
hotel,hotel
enjoy,desfrutar
quiet,tranquilo
concerned,preocupado
road,estrada
eve,véspera
staying,ficando
short,baixo
beat,bater
sweetie,querida
mention,menção
clothes,roupas
finished,finalizado
fell,caiu
neither,nenhum
fix,consertar
respect,respeito
spent,gasto
prison,prisão
attention,atenção
holding,contenção
calls,Chamadas
near,perto
surprised,surpreso
bar,bar
pass,passar
keeping,guardando
gift,Presente
hadn't,não tinha
putting,colocando
dark,Sombrio
self,auto
owe,dever
using,usando
ice,gelo
helping,Ajudando
bitch,cadela
normal,normal
aunt,tia
lawyer,advogado
apart,separado
certain,certo
plans,planos
girlfriend,Namorada
floor,piso
whether,se
everything's,tudo
present,presente
earth,terra
private,privado
box,caixa
cover,cobrir
judge,juiz
upstairs,lá em cima
sake,interesse
mommy,mamãe
possibly,possivelmente
worst,pior
